,course_name,course_url,course_photo,course_level,course_effort,course_length,course_language,course_subtitle,course_price,course_partner,university_link,course_enrollments
285,SemiconductorFundamentals…,https://www.edx.org/course/semiconductor-fundamentals,https://prod-discovery.edx-cdn.org/media/course/image/3cd9489f-d220-4bf9-99e7-e0c85649f919-c6ab3b7278e5.jpg,['Advanced'],['8–9 hours per week'],['6 Weeks'],['English'],['English'],['$750 USD'],['Purdue University'],['https://www.edx.org/school/purduex'],not-mentioned
286,Flight VehicleAerodynamics…,https://www.edx.org/course/flight-vehicle-aerodynamics,https://prod-discovery.edx-cdn.org/media/course/image/663b60da-d279-4455-9be2-0960e2fd3500.jpg,['Intermediate'],[],['16 Weeks'],['English'],"['English', 'English']",['$99 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
287,Mastering QuantumMechanics Part 1: WaveMechanics…,https://www.edx.org/course/mastering-quantum-mechanics-part-1-wave-mechanics,https://prod-discovery.edx-cdn.org/media/course/image/3d3a7cfb-ba6c-4fa2-91b6-4794607a30f3-d78437e7ed9e.jpg,['Intermediate'],[],['4 Weeks'],['English'],"['English', 'English']",['$50 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
288,Differential Equations:2x2 Systems…,https://www.edx.org/course/differential-equations-2x2-systems,https://prod-discovery.edx-cdn.org/media/course/image/d5a7dfe1-6579-4b2a-b16c-8900f60968ef-e8dd34b2ec81.png,['Intermediate'],['2–5 hours per week'],['8 Weeks'],['English'],['English'],['$75 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],"11,110"
289,Electricity andMagnetism: MagneticFields and Forces…,https://www.edx.org/course/electricity-and-magnetism-magnetic-fields-and-forc,https://prod-discovery.edx-cdn.org/media/course/image/14337485-76d7-4051-a636-16f294688037-239052ed83bb.jpg,['Intermediate'],['11–13 hours per week'],['8 Weeks'],['English'],['English'],['$49 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
290,Introduction to QuantumScience & Technology…,https://www.edx.org/course/introduction-to-quantum-technology,https://prod-discovery.edx-cdn.org/media/course/image/6fd363ac-debe-49a7-86e0-4b6f7c6de975-418a8ae4abf9.jpeg,['Intermediate'],['7–10 hours per week'],['16 Weeks'],['English'],['English'],"['$2,250 USD']",['Purdue University'],['https://www.edx.org/school/purduex'],not-mentioned
291,"Mechanics, Part 1…",https://www.edx.org/course/introduction-to-mechanics-part-1,https://prod-discovery.edx-cdn.org/media/course/image/39f6f114-1a95-4418-8b0a-dcea9b36158a-891d07de3925.jpg,['Intermediate'],['4–6 hours per week'],['6 Weeks'],['English'],['English'],['$169 USD'],['Rice University'],['https://www.edx.org/school/ricex'],not-mentioned
292,Quantum Cryptography…,https://www.edx.org/course/quantum-cryptography,https://prod-discovery.edx-cdn.org/media/course/image/68558132-3ac1-4679-b624-aaf6693d5d50-77ecc50f5a08.png,['Advanced'],['6–8 hours per week'],['10 Weeks'],['English'],['English'],['$50 USD'],"['Caltech', 'Delft University of Technology']","['https://www.edx.org/school/caltechx', 'https://www.edx.org/school/delftx']",not-mentioned
293,Dynamics…,https://www.edx.org/course/dynamics-2,https://prod-discovery.edx-cdn.org/media/course/image/fc17df83-c262-4634-88b8-6ebf28d7ac76-91a2114ebf95.jpg,['Intermediate'],[],['4 Weeks'],['English'],"['English', 'English']",[],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
294,Introduction toEngineering…,https://www.edx.org/course/introduction-to-engineering,https://prod-discovery.edx-cdn.org/media/course/image/c3130811-75f9-4a4c-8779-3b9993a34e05-6959adf216a8.jpg,['Introductory'],['4–6 hours per week'],['8 Weeks'],['English'],"['English, Español']",['$49 USD'],['University of Texas at Arlington'],['https://www.edx.org/school/utarlingtonx'],not-mentioned
